Organization,Date_Time,LAT,LON,MSLP (hPa),MWS (Knot)
NHC,2021-08-24 06:00:00,11.8,-64.2,1009, 20.0
NHC,2021-08-24 12:00:00,12.0,-66.4,1008, 20.0
NHC,2021-08-24 18:00:00,12.1,-68.6,1006, 25.0
NHC,2021-08-25 00:00:00,12.3,-70.8,1006, 25.0
NHC,2021-08-25 06:00:00,12.5,-73.1,1006, 25.0
NHC,2021-08-25 12:00:00,13.1,-74.9,1006, 30.0
NHC,2021-08-25 18:00:00,13.5,-76.0,1006, 30.0
NHC,2021-08-26 00:00:00,14.0,-77.0,1006, 30.0
NHC,2021-08-26 06:00:00,15.2,-78.0,1006, 30.0
NHC,2021-08-26 12:00:00,16.5,-78.9,1006, 30.0
NHC,2021-08-26 18:00:00,17.4,-79.5,1006, 35.0
NHC,2021-08-27 00:00:00,18.3,-80.2,1004, 40.0
NHC,2021-08-27 06:00:00,19.4,-80.9,1002, 45.0
NHC,2021-08-27 12:00:00,20.4,-81.7, 996, 55.0
NHC,2021-08-27 18:00:00,21.5,-82.6, 987, 70.0
NHC,2021-08-28 00:00:00,22.6,-83.5, 989, 70.0
NHC,2021-08-28 06:00:00,23.5,-84.7, 987, 70.0
NHC,2021-08-28 12:00:00,24.4,-85.7, 986, 70.0
NHC,2021-08-28 18:00:00,25.6,-86.6, 976, 80.0
NHC,2021-08-29 00:00:00,26.7,-87.6, 967, 90.0
NHC,2021-08-29 06:00:00,27.6,-88.7, 950,115.0
NHC,2021-08-29 12:00:00,28.5,-89.6, 929,130.0
NHC,2021-08-29 18:00:00,29.2,-90.4, 932,125.0
NHC,2021-08-30 00:00:00,29.9,-90.6, 944,105.0
NHC,2021-08-30 06:00:00,30.6,-90.8, 978, 65.0
